Local time,Open,High,Low,Close,Volume
19.02.2020 16:00:00.000 GMT+0200,1.29777,1.29789,1.29175,1.29178,41044.2998
19.02.2020 20:00:00.000 GMT+0200,1.29177,1.29292,1.29072,1.29144,13053.34
20.02.2020 00:00:00.000 GMT+0200,1.29143,1.29281,1.29107,1.29145,12655.500199999999
20.02.2020 04:00:00.000 GMT+0200,1.29145,1.29176,1.29005,1.29104,13626.9202
20.02.2020 08:00:00.000 GMT+0200,1.29104,1.29254,1.28830,1.29017,28442.260000000002
20.02.2020 12:00:00.000 GMT+0200,1.29018,1.29070,1.28488,1.28582,32993.8295
20.02.2020 16:00:00.000 GMT+0200,1.28583,1.28883,1.28541,1.28771,26041.489700000002
20.02.2020 20:00:00.000 GMT+0200,1.28771,1.28880,1.28744,1.28759,8860.5699
21.02.2020 00:00:00.000 GMT+0200,1.28757,1.28878,1.28730,1.28869,12322.079999999998
21.02.2020 04:00:00.000 GMT+0200,1.28869,1.28988,1.28850,1.28946,14810.979800000001
21.02.2020 08:00:00.000 GMT+0200,1.28949,1.29273,1.28844,1.29160,36983.3398
21.02.2020 12:00:00.000 GMT+0200,1.29155,1.29512,1.29075,1.29349,43013.6299
21.02.2020 16:00:00.000 GMT+0200,1.29347,1.29774,1.29261,1.29737,39760.0708
21.02.2020 20:00:00.000 GMT+0200,1.29738,1.29806,1.29529,1.29529,12479.539999999999
24.02.2020 00:00:00.000 GMT+0200,1.29449,1.29543,1.29423,1.29473,13939.91
24.02.2020 04:00:00.000 GMT+0200,1.29473,1.29511,1.29336,1.29363,13205.27
24.02.2020 08:00:00.000 GMT+0200,1.29362,1.29540,1.28867,1.28961,39445.0493
24.02.2020 12:00:00.000 GMT+0200,1.28961,1.29216,1.28864,1.28998,36544.6997
24.02.2020 16:00:00.000 GMT+0200,1.28998,1.29373,1.28995,1.29361,43799.360400000005
24.02.2020 20:00:00.000 GMT+0200,1.29362,1.29362,1.29125,1.29253,19352.7795
25.02.2020 00:00:00.000 GMT+0200,1.29253,1.29417,1.29140,1.29400,20174.8301
25.02.2020 04:00:00.000 GMT+0200,1.29402,1.29416,1.29270,1.29322,16081.04
25.02.2020 08:00:00.000 GMT+0200,1.29322,1.29950,1.29289,1.29940,44180.7695
25.02.2020 12:00:00.000 GMT+0200,1.29939,1.29939,1.29524,1.29691,48161.3485
25.02.2020 16:00:00.000 GMT+0200,1.29690,1.30179,1.29652,1.30111,43963.5898
25.02.2020 20:00:00.000 GMT+0200,1.30111,1.30136,1.29942,1.30038,15630.059600000002
26.02.2020 00:00:00.000 GMT+0200,1.30037,1.30075,1.29925,1.30063,17837.130400000002
26.02.2020 04:00:00.000 GMT+0200,1.30063,1.30077,1.29813,1.29964,20624.75
26.02.2020 08:00:00.000 GMT+0200,1.29964,1.29971,1.29425,1.29496,38851.5107
26.02.2020 12:00:00.000 GMT+0200,1.29494,1.29502,1.29137,1.29347,48309.289000000004
26.02.2020 16:00:00.000 GMT+0200,1.29347,1.29501,1.29065,1.29078,41715.230899999995
26.02.2020 20:00:00.000 GMT+0200,1.29078,1.29169,1.28953,1.28953,22322.909900000002
27.02.2020 00:00:00.000 GMT+0200,1.28927,1.29201,1.28927,1.29114,27125.420000000002
